# stage isel: 146 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
#field	op	exit	read	write	open	close	mmap	munmap	mprotect	getpid	clock_gettime	nanosleep	futex	socket	connect	bind	listen	accept	clone	execve	lseek	unlink	rename	add64	sub64	xor64	mul64	slt64	sle64	load64	store64	jump	jumpz	call	ret	nop	cas64	fence	syscall_gate	tls_base	cycle_counter	stack_enter	and64	or64	shl64	shr64	callr	ult64	ule64	lshr64	fadd64	fsub64	fmul64	fdiv64	flt64	fle64	feq64	fadd32	fsub32	fmul32	fdiv32	flt32	fle32	feq32	cvtid	cvtud	cvtis	cvtus	cvtdi	cvtdu	cvtsd	cvtds	fsqrt64	fsqrt32
#field	arch	x86_64	arm64
#head	form	-	syscall	svc	winapi	x86	arm
#head	symbol	-	accept	add	addsd	addss	and	asr	b	bind	bl	blr	call	casal	cbz	clock_gettime	clone	close	cmpxchg	connect	cset	cvtsd2ss	cvtsi2sd	cvtsi2ss	cvtss2sd	cvttsd2si	divsd	divss	dmb	eor	execve	exit	fadd	fcmp	fcvt	fcvtzs	fcvtzu	fdiv	fmul	fsqrt	fsub	futex	getpid	imul	jmp	jz	ldr	listen	lseek	lsl	lsr	mfence	mmap	mov	mprotect	mrs	mul	mulsd	mulss	munmap	nanosleep	none	nop	open	or	orr	push	rdfsbase	rdtsc	read	rename	ret	sar	scvtf	setb	setbe	setl	setle	shl	shr	socket	sqrtsd	sqrtss	stp	str	sub	subsd	subss	svc	syscall	ucomisd	ucomiss	ucvtf	unlink	write	xor
op	arch	=> form	=> symbol
slt64	arm64	arm	cset
sle64	x86_64	x86	setle
sle64	arm64	arm	cset
load64	x86_64	x86	mov
load64	arm64	arm	ldr
store64	x86_64	x86	mov
store64	arm64	arm	str
jump	x86_64	x86	jmp
jump	arm64	arm	b
jumpz	x86_64	x86	jz
jumpz	arm64	arm	cbz
call	x86_64	x86	call
call	arm64	arm	bl
ret	x86_64	x86	ret
ret	arm64	arm	ret
nop	x86_64	x86	nop
nop	arm64	arm	nop
cas64	x86_64	x86	cmpxchg
cas64	arm64	arm	casal
fence	x86_64	x86	mfence
fence	arm64	arm	dmb
syscall_gate	x86_64	x86	syscall
syscall_gate	arm64	arm	svc
tls_base	x86_64	x86	rdfsbase
tls_base	arm64	arm	mrs
cycle_counter	x86_64	x86	rdtsc
cycle_counter	arm64	arm	mrs
stack_enter	x86_64	x86	push
stack_enter	arm64	arm	stp
and64	x86_64	x86	and
and64	arm64	arm	and
or64	x86_64	x86	or
or64	arm64	arm	orr
shl64	x86_64	x86	shl
shl64	arm64	arm	lsl
shr64	x86_64	x86	sar
shr64	arm64	arm	asr
callr	x86_64	x86	call
callr	arm64	arm	blr
ult64	x86_64	x86	setb
ult64	arm64	arm	cset
ule64	x86_64	x86	setbe
ule64	arm64	arm	cset
lshr64	x86_64	x86	shr
lshr64	arm64	arm	lsr
fadd64	x86_64	x86	addsd
fadd64	arm64	arm	fadd
fsub64	x86_64	x86	subsd
fsub64	arm64	arm	fsub
fmul64	x86_64	x86	mulsd
fmul64	arm64	arm	fmul
fdiv64	x86_64	x86	divsd
fdiv64	arm64	arm	fdiv
flt64	x86_64	x86	ucomisd
flt64	arm64	arm	fcmp
fle64	x86_64	x86	ucomisd
fle64	arm64	arm	fcmp
feq64	x86_64	x86	ucomisd
feq64	arm64	arm	fcmp
fadd32	x86_64	x86	addss
fadd32	arm64	arm	fadd
fsub32	x86_64	x86	subss
fsub32	arm64	arm	fsub
fmul32	x86_64	x86	mulss
fmul32	arm64	arm	fmul
fdiv32	x86_64	x86	divss
fdiv32	arm64	arm	fdiv
flt32	x86_64	x86	ucomiss
flt32	arm64	arm	fcmp
fle32	x86_64	x86	ucomiss
fle32	arm64	arm	fcmp
feq32	x86_64	x86	ucomiss
feq32	arm64	arm	fcmp
cvtid	x86_64	x86	cvtsi2sd
cvtid	arm64	arm	scvtf
cvtud	x86_64	x86	cvtsi2sd
cvtud	arm64	arm	ucvtf
cvtis	x86_64	x86	cvtsi2ss
cvtis	arm64	arm	scvtf
cvtus	x86_64	x86	cvtsi2ss
cvtus	arm64	arm	ucvtf
cvtdi	x86_64	x86	cvttsd2si
cvtdi	arm64	arm	fcvtzs
cvtdu	x86_64	x86	cvttsd2si
cvtdu	arm64	arm	fcvtzu
cvtsd	x86_64	x86	cvtss2sd
cvtsd	arm64	arm	fcvt
cvtds	x86_64	x86	cvtsd2ss
cvtds	arm64	arm	fcvt
fsqrt64	x86_64	x86	sqrtsd
fsqrt64	arm64	arm	fsqrt
fsqrt32	x86_64	x86	sqrtss
fsqrt32	arm64	arm	fsqrt
