# stage combo: 438 keys, generated by `python3 -m unisa gold-export` from unisa/gold.py -- do not edit
op	os	arch	=> form	=> symbol	=> sysno	=> arg0	=> arg1	=> arg2	=> arg3	=> arg4	=> arg5	=> ret	=> gate	=> nrreg	=> argshape	=> retconv	=> winimp
getpid	win	arm64	winapi	getpid	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	none	none
clock_gettime	lnx	x86_64	syscall	clock_gettime	228	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
clock_gettime	lnx	arm64	svc	clock_gettime	113	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
clock_gettime	osx	x86_64	syscall	clock_gettime	none	rdi	rsi	rdx	r10	r8	r9	rax	syscall	none	plain	none	none
clock_gettime	osx	arm64	svc	clock_gettime	none	x0	x1	x2	x3	x4	x5	x0	svc80	none	plain	none	none
clock_gettime	win	x86_64	winapi	clock_gettime	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	none	none
clock_gettime	win	arm64	winapi	clock_gettime	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	none	none
nanosleep	lnx	x86_64	syscall	nanosleep	35	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
nanosleep	lnx	arm64	svc	nanosleep	101	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
nanosleep	osx	x86_64	syscall	nanosleep	none	rdi	rsi	rdx	r10	r8	r9	rax	syscall	none	plain	none	none
nanosleep	osx	arm64	svc	nanosleep	none	x0	x1	x2	x3	x4	x5	x0	svc80	none	plain	none	none
nanosleep	win	x86_64	winapi	nanosleep	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	none	none
nanosleep	win	arm64	winapi	nanosleep	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	none	none
futex	lnx	x86_64	syscall	futex	202	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
futex	lnx	arm64	svc	futex	98	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
futex	osx	x86_64	syscall	futex	0x2000203	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
futex	osx	arm64	svc	futex	0x2000203	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
futex	win	x86_64	winapi	futex	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	none	none
futex	win	arm64	winapi	futex	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	none	none
socket	lnx	x86_64	syscall	socket	41	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
socket	lnx	arm64	svc	socket	198	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
socket	osx	x86_64	syscall	socket	0x2000061	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
socket	osx	arm64	svc	socket	0x2000061	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
socket	win	x86_64	winapi	socket	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	none	none
socket	win	arm64	winapi	socket	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	none	none
connect	lnx	x86_64	syscall	connect	42	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
connect	lnx	arm64	svc	connect	203	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
connect	osx	x86_64	syscall	connect	0x2000062	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
connect	osx	arm64	svc	connect	0x2000062	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
connect	win	x86_64	winapi	connect	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	none	none
connect	win	arm64	winapi	connect	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	none	none
bind	lnx	x86_64	syscall	bind	49	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
bind	lnx	arm64	svc	bind	200	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
bind	osx	x86_64	syscall	bind	0x2000068	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
bind	osx	arm64	svc	bind	0x2000068	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
bind	win	x86_64	winapi	bind	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	none	none
bind	win	arm64	winapi	bind	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	none	none
listen	lnx	x86_64	syscall	listen	50	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
listen	lnx	arm64	svc	listen	201	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
listen	osx	x86_64	syscall	listen	0x200006a	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
listen	osx	arm64	svc	listen	0x200006a	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
listen	win	x86_64	winapi	listen	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	none	none
listen	win	arm64	winapi	listen	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	none	none
accept	lnx	x86_64	syscall	accept	43	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
accept	lnx	arm64	svc	accept	202	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
accept	osx	x86_64	syscall	accept	0x200001e	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
accept	osx	arm64	svc	accept	0x200001e	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
accept	win	x86_64	winapi	accept	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	none	none
accept	win	arm64	winapi	accept	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	none	none
clone	lnx	x86_64	syscall	clone	56	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
clone	lnx	arm64	svc	clone	220	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
clone	osx	x86_64	syscall	clone	0x2000168	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
clone	osx	arm64	svc	clone	0x2000168	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
clone	win	x86_64	winapi	clone	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	none	none
clone	win	arm64	winapi	clone	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	none	none
execve	lnx	x86_64	syscall	execve	59	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
execve	lnx	arm64	svc	execve	221	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
execve	osx	x86_64	syscall	execve	0x200003b	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
execve	osx	arm64	svc	execve	0x200003b	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
execve	win	x86_64	winapi	execve	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	none	none
execve	win	arm64	winapi	execve	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	none	none
lseek	lnx	x86_64	syscall	lseek	8	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
lseek	lnx	arm64	svc	lseek	62	x0	x1	x2	x3	x4	x5	x0	svc0	x8	plain	none	none
lseek	osx	x86_64	syscall	lseek	0x20000c7	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
lseek	osx	arm64	svc	lseek	0x20000c7	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
lseek	win	x86_64	winapi	lseek	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	dword_sx	SetFilePointer
lseek	win	arm64	winapi	lseek	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	dword_sx	SetFilePointer
unlink	lnx	x86_64	syscall	unlink	87	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
unlink	lnx	arm64	svc	unlink	35	x0	x1	x2	x3	x4	x5	x0	svc0	x8	atfd_1_zero	none	none
unlink	osx	x86_64	syscall	unlink	0x200000a	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
unlink	osx	arm64	svc	unlink	0x200000a	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
unlink	win	x86_64	winapi	unlink	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	bool_neg	DeleteFileA
unlink	win	arm64	winapi	unlink	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	bool_neg	DeleteFileA
rename	lnx	x86_64	syscall	rename	82	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
rename	lnx	arm64	svc	rename	276	x0	x1	x2	x3	x4	x5	x0	svc0	x8	atfd_2_zero5	none	none
rename	osx	x86_64	syscall	rename	0x2000080	rdi	rsi	rdx	r10	r8	r9	rax	syscall	rax	plain	none	none
rename	osx	arm64	svc	rename	0x2000080	x0	x1	x2	x3	x4	x5	x0	svc80	x16	plain	none	none
rename	win	x86_64	winapi	rename	none	rcx	rdx	r8	r9	none	none	rax	winapi	none	plain	bool_neg	MoveFileExA
rename	win	arm64	winapi	rename	none	x0	x1	x2	x3	none	none	x0	winapi	none	plain	bool_neg	MoveFileExA
add64	lnx	x86_64	x86	add	none	none	none	none	none	none	none	none	none	none	plain	none	none
add64	lnx	arm64	arm	add	none	none	none	none	none	none	none	none	none	none	plain	none	none
add64	osx	x86_64	x86	add	none	none	none	none	none	none	none	none	none	none	plain	none	none
add64	osx	arm64	arm	add	none	none	none	none	none	none	none	none	none	none	plain	none	none
add64	win	x86_64	x86	add	none	none	none	none	none	none	none	none	none	none	plain	none	none
add64	win	arm64	arm	add	none	none	none	none	none	none	none	none	none	none	plain	none	none
sub64	lnx	x86_64	x86	sub	none	none	none	none	none	none	none	none	none	none	plain	none	none
sub64	lnx	arm64	arm	sub	none	none	none	none	none	none	none	none	none	none	plain	none	none
sub64	osx	x86_64	x86	sub	none	none	none	none	none	none	none	none	none	none	plain	none	none
sub64	osx	arm64	arm	sub	none	none	none	none	none	none	none	none	none	none	plain	none	none
sub64	win	x86_64	x86	sub	none	none	none	none	none	none	none	none	none	none	plain	none	none
sub64	win	arm64	arm	sub	none	none	none	none	none	none	none	none	none	none	plain	none	none
xor64	lnx	x86_64	x86	xor	none	none	none	none	none	none	none	none	none	none	plain	none	none
xor64	lnx	arm64	arm	eor	none	none	none	none	none	none	none	none	none	none	plain	none	none
xor64	osx	x86_64	x86	xor	none	none	none	none	none	none	none	none	none	none	plain	none	none
xor64	osx	arm64	arm	eor	none	none	none	none	none	none	none	none	none	none	plain	none	none
xor64	win	x86_64	x86	xor	none	none	none	none	none	none	none	none	none	none	plain	none	none
xor64	win	arm64	arm	eor	none	none	none	none	none	none	none	none	none	none	plain	none	none
mul64	lnx	x86_64	x86	imul	none	none	none	none	none	none	none	none	none	none	plain	none	none
mul64	lnx	arm64	arm	mul	none	none	none	none	none	none	none	none	none	none	plain	none	none
mul64	osx	x86_64	x86	imul	none	none	none	none	none	none	none	none	none	none	plain	none	none
mul64	osx	arm64	arm	mul	none	none	none	none	none	none	none	none	none	none	plain	none	none
mul64	win	x86_64	x86	imul	none	none	none	none	none	none	none	none	none	none	plain	none	none
mul64	win	arm64	arm	mul	none	none	none	none	none	none	none	none	none	none	plain	none	none
slt64	lnx	x86_64	x86	setl	none	none	none	none	none	none	none	none	none	none	plain	none	none
slt64	lnx	arm64	arm	cset	none	none	none	none	none	none	none	none	none	none	plain	none	none
slt64	osx	x86_64	x86	setl	none	none	none	none	none	none	none	none	none	none	plain	none	none
slt64	osx	arm64	arm	cset	none	none	none	none	none	none	none	none	none	none	plain	none	none
slt64	win	x86_64	x86	setl	none	none	none	none	none	none	none	none	none	none	plain	none	none
slt64	win	arm64	arm	cset	none	none	none	none	none	none	none	none	none	none	plain	none	none
sle64	lnx	x86_64	x86	setle	none	none	none	none	none	none	none	none	none	none	plain	none	none
sle64	lnx	arm64	arm	cset	none	none	none	none	none	none	none	none	none	none	plain	none	none
sle64	osx	x86_64	x86	setle	none	none	none	none	none	none	none	none	none	none	plain	none	none
sle64	osx	arm64	arm	cset	none	none	none	none	none	none	none	none	none	none	plain	none	none
sle64	win	x86_64	x86	setle	none	none	none	none	none	none	none	none	none	none	plain	none	none
sle64	win	arm64	arm	cset	none	none	none	none	none	none	none	none	none	none	plain	none	none
load64	lnx	x86_64	x86	mov	none	none	none	none	none	none	none	none	none	none	plain	none	none
load64	lnx	arm64	arm	ldr	none	none	none	none	none	none	none	none	none	none	plain	none	none
load64	osx	x86_64	x86	mov	none	none	none	none	none	none	none	none	none	none	plain	none	none
load64	osx	arm64	arm	ldr	none	none	none	none	none	none	none	none	none	none	plain	none	none
load64	win	x86_64	x86	mov	none	none	none	none	none	none	none	none	none	none	plain	none	none
load64	win	arm64	arm	ldr	none	none	none	none	none	none	none	none	none	none	plain	none	none
store64	lnx	x86_64	x86	mov	none	none	none	none	none	none	none	none	none	none	plain	none	none
store64	lnx	arm64	arm	str	none	none	none	none	none	none	none	none	none	none	plain	none	none
store64	osx	x86_64	x86	mov	none	none	none	none	none	none	none	none	none	none	plain	none	none
store64	osx	arm64	arm	str	none	none	none	none	none	none	none	none	none	none	plain	none	none
store64	win	x86_64	x86	mov	none	none	none	none	none	none	none	none	none	none	plain	none	none
store64	win	arm64	arm	str	none	none	none	none	none	none	none	none	none	none	plain	none	none
jump	lnx	x86_64	x86	jmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
jump	lnx	arm64	arm	b	none	none	none	none	none	none	none	none	none	none	plain	none	none
jump	osx	x86_64	x86	jmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
jump	osx	arm64	arm	b	none	none	none	none	none	none	none	none	none	none	plain	none	none
jump	win	x86_64	x86	jmp	none	none	none	none	none	none	none	none	none	none	plain	none	none
jump	win	arm64	arm	b	none	none	none	none	none	none	none	none	none	none	plain	none	none
jumpz	lnx	x86_64	x86	jz	none	none	none	none	none	none	none	none	none	none	plain	none	none
jumpz	lnx	arm64	arm	cbz	none	none	none	none	none	none	none	none	none	none	plain	none	none
jumpz	osx	x86_64	x86	jz	none	none	none	none	none	none	none	none	none	none	plain	none	none
jumpz	osx	arm64	arm	cbz	none	none	none	none	none	none	none	none	none	none	plain	none	none
jumpz	win	x86_64	x86	jz	none	none	none	none	none	none	none	none	none	none	plain	none	none
jumpz	win	arm64	arm	cbz	none	none	none	none	none	none	none	none	none	none	plain	none	none
call	lnx	x86_64	x86	call	none	none	none	none	none	none	none	none	none	none	plain	none	none
call	lnx	arm64	arm	bl	none	none	none	none	none	none	none	none	none	none	plain	none	none
call	osx	x86_64	x86	call	none	none	none	none	none	none	none	none	none	none	plain	none	none
call	osx	arm64	arm	bl	none	none	none	none	none	none	none	none	none	none	plain	none	none
call	win	x86_64	x86	call	none	none	none	none	none	none	none	none	none	none	plain	none	none
call	win	arm64	arm	bl	none	none	none	none	none	none	none	none	none	none	plain	none	none
ret	lnx	x86_64	x86	ret	none	none	none	none	none	none	none	none	none	none	plain	none	none
ret	lnx	arm64	arm	ret	none	none	none	none	none	none	none	none	none	none	plain	none	none
ret	osx	x86_64	x86	ret	none	none	none	none	none	none	none	none	none	none	plain	none	none
ret	osx	arm64	arm	ret	none	none	none	none	none	none	none	none	none	none	plain	none	none
ret	win	x86_64	x86	ret	none	none	none	none	none	none	none	none	none	none	plain	none	none
ret	win	arm64	arm	ret	none	none	none	none	none	none	none	none	none	none	plain	none	none
nop	lnx	x86_64	x86	nop	none	none	none	none	none	none	none	none	none	none	plain	none	none
nop	lnx	arm64	arm	nop	none	none	none	none	none	none	none	none	none	none	plain	none	none
nop	osx	x86_64	x86	nop	none	none	none	none	none	none	none	none	none	none	plain	none	none
nop	osx	arm64	arm	nop	none	none	none	none	none	none	none	none	none	none	plain	none	none
nop	win	x86_64	x86	nop	none	none	none	none	none	none	none	none	none	none	plain	none	none
nop	win	arm64	arm	nop	none	none	none	none	none	none	none	none	none	none	plain	none	none
cas64	lnx	x86_64	x86	cmpxchg	none	none	none	none	none	none	none	none	none	none	plain	none	none
cas64	lnx	arm64	arm	casal	none	none	none	none	none	none	none	none	none	none	plain	none	none
cas64	osx	x86_64	x86	cmpxchg	none	none	none	none	none	none	none	none	none	none	plain	none	none
cas64	osx	arm64	arm	casal	none	none	none	none	none	none	none	none	none	none	plain	none	none
cas64	win	x86_64	x86	cmpxchg	none	none	none	none	none	none	none	none	none	none	plain	none	none
cas64	win	arm64	arm	casal	none	none	none	none	none	none	none	none	none	none	plain	none	none
fence	lnx	x86_64	x86	mfence	none	none	none	none	none	none	none	none	none	none	plain	none	none
fence	lnx	arm64	arm	dmb	none	none	none	none	none	none	none	none	none	none	plain	none	none
fence	osx	x86_64	x86	mfence	none	none	none	none	none	none	none	none	none	none	plain	none	none
fence	osx	arm64	arm	dmb	none	none	none	none	none	none	none	none	none	none	plain	none	none
fence	win	x86_64	x86	mfence	none	none	none	none	none	none	none	none	none	none	plain	none	none
fence	win	arm64	arm	dmb	none	none	none	none	none	none	none	none	none	none	plain	none	none
syscall_gate	lnx	x86_64	x86	syscall	none	none	none	none	none	none	none	none	syscall	none	plain	none	none
syscall_gate	lnx	arm64	arm	svc	none	none	none	none	none	none	none	none	svc0	none	plain	none	none
syscall_gate	osx	x86_64	x86	syscall	none	none	none	none	none	none	none	none	syscall	none	plain	none	none
syscall_gate	osx	arm64	arm	svc	none	none	none	none	none	none	none	none	svc80	none	plain	none	none
syscall_gate	win	x86_64	x86	syscall	none	none	none	none	none	none	none	none	winapi	none	plain	none	none
syscall_gate	win	arm64	arm	svc	none	none	none	none	none	none	none	none	winapi	none	plain	none	none
tls_base	lnx	x86_64	x86	rdfsbase	none	none	none	none	none	none	none	none	none	none	plain	none	none
tls_base	lnx	arm64	arm	mrs	none	none	none	none	none	none	none	none	none	none	plain	none	none
tls_base	osx	x86_64	x86	rdfsbase	none	none	none	none	none	none	none	none	none	none	plain	none	none
tls_base	osx	arm64	arm	mrs	none	none	none	none	none	none	none	none	none	none	plain	none	none
tls_base	win	x86_64	x86	rdfsbase	none	none	none	none	none	none	none	none	none	none	plain	none	none
tls_base	win	arm64	arm	mrs	none	none	none	none	none	none	none	none	none	none	plain	none	none
cycle_counter	lnx	x86_64	x86	rdtsc	none	none	none	none	none	none	none	none	none	none	plain	none	none
cycle_counter	lnx	arm64	arm	mrs	none	none	none	none	none	none	none	none	none	none	plain	none	none
cycle_counter	osx	x86_64	x86	rdtsc	none	none	none	none	none	none	none	none	none	none	plain	none	none
cycle_counter	osx	arm64	arm	mrs	none	none	none	none	none	none	none	none	none	none	plain	none	none
cycle_counter	win	x86_64	x86	rdtsc	none	none	none	none	none	none	none	none	none	none	plain	none	none
cycle_counter	win	arm64	arm	mrs	none	none	none	none	none	none	none	none	none	none	plain	none	none
stack_enter	lnx	x86_64	x86	push	none	none	none	none	none	none	none	none	none	none	plain	none	none
stack_enter	lnx	arm64	arm	stp	none	none	none	none	none	none	none	none	none	none	plain	none	none
stack_enter	osx	x86_64	x86	push	none	none	none	none	none	none	none	none	none	none	plain	none	none
stack_enter	osx	arm64	arm	stp	none	none	none	none	none	none	none	none	none	none	plain	none	none
stack_enter	win	x86_64	x86	push	none	none	none	none	none	none	none	none	none	none	plain	none	none
stack_enter	win	arm64	arm	stp	none	none	none	none	none	none	none	none	none	none	plain	none	none
and64	lnx	x86_64	x86	and	none	none	none	none	none	none	none	none	none	none	plain	none	none
and64	lnx	arm64	arm	and	none	none	none	none	none	none	none	none	none	none	plain	none	none
and64	osx	x86_64	x86	and	none	none	none	none	none	none	none	none	none	none	plain	none	none
and64	osx	arm64	arm	and	none	none	none	none	none	none	none	none	none	none	plain	none	none
and64	win	x86_64	x86	and	none	none	none	none	none	none	none	none	none	none	plain	none	none
and64	win	arm64	arm	and	none	none	none	none	none	none	none	none	none	none	plain	none	none
or64	lnx	x86_64	x86	or	none	none	none	none	none	none	none	none	none	none	plain	none	none
or64	lnx	arm64	arm	orr	none	none	none	none	none	none	none	none	none	none	plain	none	none
or64	osx	x86_64	x86	or	none	none	none	none	none	none	none	none	none	none	plain	none	none
or64	osx	arm64	arm	orr	none	none	none	none	none	none	none	none	none	none	plain	none	none
or64	win	x86_64	x86	or	none	none	none	none	none	none	none	none	none	none	plain	none	none
or64	win	arm64	arm	orr	none	none	none	none	none	none	none	none	none	none	plain	none	none
shl64	lnx	x86_64	x86	shl	none	none	none	none	none	none	none	none	none	none	plain	none	none
shl64	lnx	arm64	arm	lsl	none	none	none	none	none	none	none	none	none	none	plain	none	none
shl64	osx	x86_64	x86	shl	none	none	none	none	none	none	none	none	none	none	plain	none	none
shl64	osx	arm64	arm	lsl	none	none	none	none	none	none	none	none	none	none	plain	none	none
shl64	win	x86_64	x86	shl	none	none	none	none	none	none	none	none	none	none	plain	none	none
shl64	win	arm64	arm	lsl	none	none	none	none	none	none	none	none	none	none	plain	none	none
shr64	lnx	x86_64	x86	sar	none	none	none	none	none	none	none	none	none	none	plain	none	none
shr64	lnx	arm64	arm	asr	none	none	none	none	none	none	none	none	none	none	plain	none	none
shr64	osx	x86_64	x86	sar	none	none	none	none	none	none	none	none	none	none	plain	none	none
